State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
NSW,145,Richmond,GRN,1,27783,3,8,41348,Mandy Nolan,GRN,,0,0.2647210153212897
NSW,145,Richmond,ON,1,5709,4,7,41907,Ian Mye,ON,,0,0.05439629544934827
NSW,145,Richmond,OTH,6,13764,5,6,42068,Vivian Mac Mcmahon,OTH_HMP,CENTRE_LEFT,5,0.13114566659044136
NSW,250,Riverina,LNP,1,42678,1,,41954,Michael Mccormack,NAT,,0,0.4032427222993849
NSW,250,Riverina,ALP,1,19506,2,,41445,Mark Jeffreson,ALP,,0,0.18430227614161399
NSW,250,Riverina,ON,1,10427,3,11,41895,Mark Craig,ON,,0,0.09851942137437758
NSW,250,Riverina,IND,1,6909,4,10,42044,Jenny Rolfe,IND_PROMINENT,CENTRE_LEFT,0,0.06527962810737266
NSW,250,Riverina,OTH,8,21550,5,9,40626,James Gooden,IND_MINOR,CENTRE_RIGHT,7,0.20361499286638887
NSW,250,Riverina,GRN,1,4767,6,8,41639,Pheonix Valxori,GRN,,0,0.045040959210861986
NSW,146,Robertson,ALP,1,45411,1,,41417,Gordon Reid,ALP,,0,0.44756216551846484
NSW,146,Robertson,LNP,1,30831,2,,41491,Lucy Wicks,LIB,,0,0.30386446290766095
NSW,146,Robertson,GRN,1,9119,3,5,41635,Cheryl Wallace,GRN,,0,0.0898751268935474
NSW,146,Robertson,ON,1,7032,4,4,41903,Matt Lloyd,ON,,0,0.0693060524526182
NSW,146,Robertson,OTH,3,9070,5,3,41926,Tom Lillicrap,OTH_HMP,CENTRE_LEFT,2,0.08939219222770863
NSW,148,Shortland,ALP,1,48222,1,,41347,Pat Conroy,ALP,,0,0.44605394605394605
NSW,148,Shortland,LNP,1,28331,2,,41545,Emma King,LIB,,0,0.2620620120620121
NSW,148,Shortland,GRN,1,12257,3,5,41632,Therese Doyle,GRN,,0,0.11337736337736337
NSW,148,Shortland,ON,1,9813,4,4,41908,Barry Reed,ON,,0,0.09077034077034077
NSW,148,Shortland,OTH,3,9485,5,3,40672,James Pheils,IND_MINOR,CENTRE_LEFT,2,0.08773633773633774
NSW,149,Sydney,ALP,1,59153,1,,41342,Tanya Plibersek,ALP,,0,0.5515482661843001
NSW,149,Sydney,GRN,1,23162,2,,41638,Luc Velez,GRN,,0,0.2159647176197447
NSW,149,Sydney,LNP,1,18860,3,3,41561,Alex Xu,LIB,,0,0.1758524555007506
NSW,149,Sydney,ON,1,3698,4,2,41910,Vedran Torbarac,ON,,0,0.03448050797676435
NSW,149,Sydney,OTH,1,2376,5,1,41984,Rachel Evans,OTH_SAL,LEFT,0,0.022154052718440266
NSW,151,Warringah,IND,1,45590,1,,32467,Zali Steggall,IND_PROMINENT,CENTRE_LEFT,0,0.3967970755907568
NSW,151,Warringah,LNP,1,36446,2,,41500,Jaimee Rogers,LIB,,0,0.31721136690021323
NSW,151,Warringah,ALP,1,16738,3,6,41341,Celine Varghese-Fell,ALP,,0,0.14568083902693763
NSW,151,Warringah,GRN,1,10051,4,5,41637,Bonnie Harvey,GRN,,0,0.0874798729274555
NSW,151,Warringah,ON,1,1978,5,4,41941,Gavin Wright,ON,,0,0.017215718699682317
NSW,151,Warringah,OTH,3,4092,6,3,41842,Sean Mcleod,OTH_LTP,RIGHT,2,0.03561512685495452
