State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,IND,0.28951292246520877,0.28951292246520877,0.0,0.0
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,LNP,0.2224155069582505,0.2224155069582505,0.0,0.0
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,OTH,0.2659045725646123,0.2659045725646123,0.0,0.0
NSW,119,Fowler,OTH,5,3,ALP>LNP>GRN>IND,ALP,0.09823772028496439,0.10452171226887207,0.00628399198390768,0.00628399198390768
NSW,119,Fowler,OTH,5,3,ALP>LNP>GRN>IND,GRN,0.12635920509936258,0.12869263469217235,0.0023334295928097715,0.0023334295928097715
NSW,119,Fowler,OTH,5,3,ALP>LNP>GRN>IND,IND,0.6621672290963629,0.6344970077460952,-0.027670221350267754,0.027670221350267754
NSW,119,Fowler,OTH,5,3,ALP>LNP>GRN>IND,LNP,0.11323584551931008,0.13228864529286033,0.019052799773550247,0.019052799773550247
NSW,120,Gilmore,GRN,4,5,ALP>LNP>IND,ALP,0.48384766229745074,0.48384766229745074,0.0,0.0
NSW,120,Gilmore,GRN,4,5,ALP>LNP>IND,IND,0.44916916090411807,0.44916916090411807,0.0,0.0
NSW,120,Gilmore,GRN,4,5,ALP>LNP>IND,LNP,0.06698317679843122,0.06698317679843122,0.0,0.0
NSW,120,Gilmore,IND,3,6,ALP>LNP,ALP,0.6990806223479491,0.6990806223479491,0.0,0.0
NSW,120,Gilmore,IND,3,6,ALP>LNP,LNP,0.3009193776520509,0.3009193776520509,0.0,0.0
NSW,120,Gilmore,ON,5,4,ALP>LNP>GRN>IND,ALP,0.10617782262585491,0.10617782262585491,0.0,0.0
NSW,120,Gilmore,ON,5,4,ALP>LNP>GRN>IND,GRN,0.06637515416526517,0.06637515416526517,0.0,0.0
